0,1
91A,139A
92A,139A
93A,139A
100A,139A
101A,139A
102A,139A
103A,139A
104A,139A
107A,139A
116A,139A
117A,139A
121A,139A
125A,139A
126A,139A
127A,139A
139A,128A
136A,139A
137A,139A
143F,139A
144J,139A
144A,139A
144I,139A
144K,139A
144B,139A
144D,139A
143E,139A
143A,139A
144H,139A
143G,139A
137B,139A
136B,139A
58B,139A
141A,140A
140A,90B
144Y,140A
90C,140A
144P,140A
144N,140A
144S,140A
140A,131A
81B,140A
143C,140A
90F,140A
144W,140A
140A,144O
144Q,140A
144L,140A
144C,140A
144T,140A
143D,140A
39B,140A
109B,140A
10B,140A
140A,25B
21B,140A
108B,140A
140A,130B
79B,140A
27A,140A
37A,140A
140A,44A
140A,48A
49A,140A
50A,140A
57A,140A
140A,58A
59A,140A
140A,63A
70A,140A
71A,140A
72A,140A
74A,140A
75A,140A
76A,140A
81A,140A
82A,140A
83A,140A
86A,140A
87A,140A
140A,88A
91A,140A
92A,140A
93A,140A
100A,140A
101A,140A
102A,140A
103A,140A
104A,140A
107A,140A
116A,140A
117A,140A
121A,140A
125A,140A
126A,140A
127A,140A
140A,128A
136A,140A
137A,140A
143F,140A
144J,140A
144A,140A
144I,140A
144K,140A
144B,140A
144D,140A
143E,140A
143A,140A
144H,140A
143G,140A
137B,140A
136B,140A
58B,140A
142A,141A
144Y,141A
144N,141A
143C,141A
90F,141A
141A,144O
141A,144C
141A,143D
39B,141A
141A,10B
141A,130B
117A,141A
121A,141A
141A,144J
144I,141A
144K,141A
144D,141A
144H,141A
144Y,142A
144N,142A
90F,142A
142A,143D
90F,90B
144Y,144N
144Y,90F
144Y,144W
144Y,144O
144Y,144T
144Y,143D
144Y,39B
144Y,10B
90F,90C
144P,144W
144T,144P
144N,143C
144N,90F
144N,144W
144N,144O
144N,144T
39B,144N
144S,144W
144S,144T
143D,131A
10B,131A
81B,90F
81B,143D
39B,81B
143C,90F
39B,143C
143C,10B
90F,144W
90F,144O
90F,144C
90F,144T
90F,143D
90F,10B
90F,91A
121A,90F
144W,144O
144Q,144W
144L,144W
144W,143D
144T,144O
39B,144O
10B,144O
144I,144O
144H,144O
144Q,144T
144L,144T
143D,144C
39B,144C
10B,144C
144C,130B
144T,143D
39B,143D
109B,143D
143D,25B
21B,143D
108B,143D
143D,130B
79B,143D
143D,27A
143D,58A
59A,143D
143D,63A
75A,143D
76A,143D
117A,143D
121A,143D
125A,143D
126A,143D
127A,143D
143D,128A
136A,143D
137A,143D
137B,143D
136B,143D
58B,143D
39B,10B
109B,10B
108B,10B
10B,130B
79B,10B
49A,10B
50A,10B
74A,10B
75A,10B
76A,10B
125A,10B
126A,10B
127A,10B
10B,128A
