0,1
40A,140A
141A,40A
143D,40A
10B,40A
41A,139A
41A,140A
141A,41A
143D,41A
10B,41A
42A,139A
42A,140A
141A,42A
143D,42A
10B,42A
139A,43A
140A,43A
141A,43A
143D,43A
45A,139A
45A,140A
141A,45A
143D,45A
46A,139A
46A,140A
141A,46A
143D,46A
47A,139A
47A,140A
141A,47A
90F,47A
143D,47A
10B,47A
51A,139A
51A,140A
52A,139A
52A,140A
52A,141A
52A,143D
53A,139A
53A,140A
141A,53A
143D,53A
10B,53A
139A,54A
140A,54A
141A,54A
90F,54A
143D,54A
39B,54A
10B,54A
55A,139A
55A,140A
141A,55A
143D,55A
56A,139A
56A,140A
56A,141A
56A,144Y
56A,90F
56A,143D
56A,39B
56A,10B
56A,130B
60A,139A
60A,140A
141A,60A
144Y,60A
143D,60A
10B,60A
60A,130B
61A,139A
61A,140A
141A,61A
144Y,61A
61A,144C
143D,61A
10B,61A
62A,139A
62A,140A
143D,62A
10B,62A
64A,139A
64A,140A
141A,64A
90F,64A
65A,139A
65A,140A
141A,65A
143D,65A
10B,65A
66A,139A
66A,140A
141A,66A
143D,66A
10B,66A
67A,139A
67A,140A
141A,67A
143D,67A
10B,67A
68A,139A
68A,140A
141A,68A
143D,68A
10B,68A
69A,139A
69A,140A
73A,139A
73A,140A
141A,73A
143D,73A
112A,139A
112A,140A
113A,139A
113A,140A
141A,113A
143D,113A
10B,113A
114A,139A
114A,140A
141A,114A
143D,114A
10B,114A
139A,115A
140A,115A
141A,115A
90F,115A
143D,115A
39B,115A
10B,115A
118A,139A
118A,140A
143D,118A
139A,119A
140A,119A
143D,119A
120A,139A
120A,140A
143D,120A
122A,139A
122A,140A
141A,122A
143D,122A
123A,139A
123A,140A
123A,141A
123A,143D
123A,10B
124A,139A
124A,140A
141A,124A
143D,124A
139A,129A
140A,129A
143D,129A
130A,139A
130A,140A
130A,143D
132A,139A
132A,140A
141A,132A
144Y,132A
144N,132A
81B,132A
132A,144O
132A,144C
143D,132A
10B,132A
139A,133A
140A,133A
141A,133A
144Y,133A
144N,133A
81B,133A
144O,133A
144C,133A
143D,133A
10B,133A
139A,134A
140A,134A
141A,134A
144Y,134A
144N,134A
81B,134A
134A,144O
134A,144C
143D,134A
10B,134A
135A,139A
135A,140A
135A,141A
135A,144Y
135A,144N
135A,81B
135A,144O
135A,144C
135A,143D
135A,10B
138A,139A
138A,140A
138A,144Y
138A,90F
138A,144O
138A,143D
39B,138A
141A,139A
139A,142A
90B,139A
144Y,139A
90C,139A
139A,144P
144N,139A
144S,139A
131A,139A
81B,139A
143C,139A
90F,139A
144W,139A
139A,144O
144Q,139A
144L,139A
139A,144C
144T,139A
143D,139A
39B,139A
109B,139A
10B,139A
25B,139A
21B,139A
108B,139A
130B,139A
79B,139A
27A,139A
139A,37A
139A,44A
139A,48A
49A,139A
50A,139A
57A,139A
139A,58A
59A,139A
63A,139A
70A,139A
71A,139A
72A,139A
74A,139A
75A,139A
139A,76A
139A,81A
82A,139A
83A,139A
86A,139A
87A,139A
88A,139A
91A,139A
92A,139A
93A,139A
100A,139A
101A,139A
102A,139A
103A,139A
139A,104A
107A,139A
139A,116A
117A,139A
139A,121A
125A,139A
126A,139A
127A,139A
128A,139A
136A,139A
